문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
2557,Sprout,Hello World,1234127,499007,345202,39.412%,https://www.acmicpc.net/problem/2557
1000,Sprout,A+B,1162297,455614,311998,38.807%,https://www.acmicpc.net/problem/1000
1001,Sprout,A-B,470024,320291,267759,69.359%,https://www.acmicpc.net/problem/1001
10998,Sprout,A×B,334194,254051,222738,76.845%,https://www.acmicpc.net/problem/10998
1008,Sprout,A/B,783996,265594,220373,34.503%,https://www.acmicpc.net/problem/1008
10869,Sprout,사칙연산,584961,262427,220238,44.891%,https://www.acmicpc.net/problem/10869
9498,Sprout,시험 성적,434072,236868,198516,54.806%,https://www.acmicpc.net/problem/9498
1330,Sprout,두 수 비교하기,489910,237738,194259,49.702%,https://www.acmicpc.net/problem/1330
2739,Sprout,구구단,457232,229416,190517,50.672%,https://www.acmicpc.net/problem/2739
10430,Bronze V,나머지,430555,220908,190067,51.524%,https://www.acmicpc.net/problem/10430
2438,Sprout,별 찍기 - 1,352615,217194,179287,62.172%,https://www.acmicpc.net/problem/2438
10171,Sprout,고양이,607866,209825,178553,35.560%,https://www.acmicpc.net/problem/10171
2753,Sprout,윤년,407379,211949,175855,51.742%,https://www.acmicpc.net/problem/2753
10172,Sprout,개,474022,198973,174603,42.759%,https://www.acmicpc.net/problem/10172
2439,Bronze IV,별 찍기 - 2,348863,194671,163768,56.003%,https://www.acmicpc.net/problem/2439
8393,Bronze V,합,302103,192739,162545,64.014%,https://www.acmicpc.net/problem/8393
14681,Sprout,사분면 고르기,291802,175805,151508,60.909%,https://www.acmicpc.net/problem/14681
10871,Sprout,X보다 작은 수,338723,185244,149094,54.283%,https://www.acmicpc.net/problem/10871
10818,Bronze III,"최소, 최대",407052,184180,138630,44.101%,https://www.acmicpc.net/problem/10818
2741,Sprout,N 찍기,282266,158533,135080,57.343%,https://www.acmicpc.net/problem/2741
2562,Bronze III,최댓값,347092,159870,131822,45.441%,https://www.acmicpc.net/problem/2562
15552,Sprout,빠른 A+B,344036,155322,125249,45.473%,https://www.acmicpc.net/problem/15552
11720,Bronze IV,숫자의 합,274560,152425,125147,56.006%,https://www.acmicpc.net/problem/11720
