문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
1260,Silver II,DFS와 BFS,302039,119151,70696,38.071%,https://www.acmicpc.net/problem/1260
2178,Silver I,미로 탐색,214793,99433,62843,44.689%,https://www.acmicpc.net/problem/2178
2606,Silver III,바이러스,190524,89814,59783,46.035%,https://www.acmicpc.net/problem/2606
2667,Silver I,단지번호붙이기,197061,88835,56531,42.922%,https://www.acmicpc.net/problem/2667
1012,Silver II,유기농 배추,202442,82984,55111,38.629%,https://www.acmicpc.net/problem/1012
7576,Gold V,토마토,199680,79263,50522,37.143%,https://www.acmicpc.net/problem/7576
1697,Silver I,숨바꼭질,261975,77594,49386,26.060%,https://www.acmicpc.net/problem/1697
11724,Silver II,연결 요소의 개수,142924,64466,42360,42.070%,https://www.acmicpc.net/problem/11724
14502,Gold IV,연구소,107037,62018,34734,55.201%,https://www.acmicpc.net/problem/14502
10026,Gold V,적록색약,73761,42689,32082,56.740%,https://www.acmicpc.net/problem/10026
7569,Gold V,토마토,97418,42244,30990,42.653%,https://www.acmicpc.net/problem/7569
11725,Silver II,트리의 부모 찾기,91465,41158,28963,42.707%,https://www.acmicpc.net/problem/11725
2468,Silver I,안전 영역,114225,43290,28531,34.716%,https://www.acmicpc.net/problem/2468
4963,Silver II,섬의 개수,73874,37664,27012,49.772%,https://www.acmicpc.net/problem/4963
7562,Silver I,나이트의 이동,65459,34976,25970,52.217%,https://www.acmicpc.net/problem/7562
2206,Gold III,벽 부수고 이동하기,153282,40409,25318,23.505%,https://www.acmicpc.net/problem/2206
1987,Gold IV,알파벳,130641,39695,24120,28.198%,https://www.acmicpc.net/problem/1987
11403,Silver I,경로 찾기,52066,32442,24101,62.153%,https://www.acmicpc.net/problem/11403
2583,Silver I,영역 구하기,52173,30136,23247,57.939%,https://www.acmicpc.net/problem/2583
2644,Silver II,촌수계산,57286,29483,22133,50.721%,https://www.acmicpc.net/problem/2644
16236,Gold III,아기 상어,73287,34604,21208,43.845%,https://www.acmicpc.net/problem/16236
13549,Gold V,숨바꼭질 3,117753,30478,20295,24.027%,https://www.acmicpc.net/problem/13549
16953,Silver II,A → B,60183,24816,19639,39.745%,https://www.acmicpc.net/problem/16953
1389,Silver I,케빈 베이컨의 6단계 법칙,46549,23499,18647,53.789%,https://www.acmicpc.net/problem/1389
16234,Gold IV,인구 이동,74252,31592,18560,39.284%,https://www.acmicpc.net/problem/16234
1707,Gold IV,이분 그래프,102865,28312,17491,24.595%,https://www.acmicpc.net/problem/1707
