문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
14681,Sprout,사분면 고르기,291839,175837,151592,60.911%,https://www.acmicpc.net/problem/14681
1085,Bronze III,직사각형에서 탈출,105134,68514,60577,65.354%,https://www.acmicpc.net/problem/1085
4153,Bronze III,직각삼각형,102294,52031,46401,50.516%,https://www.acmicpc.net/problem/4153
3009,Bronze III,네 번째 점,63018,45764,41002,73.420%,https://www.acmicpc.net/problem/3009
1002,Silver III,터렛,224247,50381,38895,22.629%,https://www.acmicpc.net/problem/1002
10101,Bronze IV,삼각형 외우기,47347,25537,23460,56.858%,https://www.acmicpc.net/problem/10101
3053,Bronze III,택시 기하학,50664,24847,21990,48.867%,https://www.acmicpc.net/problem/3053
27323,Bronze V,직사각형,24662,21318,20460,87.332%,https://www.acmicpc.net/problem/27323
5073,Bronze III,삼각형과 세 변,45292,21165,19365,47.428%,https://www.acmicpc.net/problem/5073
1004,Silver III,어린 왕자,43237,19643,16547,46.397%,https://www.acmicpc.net/problem/1004
9063,Bronze III,대지,25775,16592,14680,64.089%,https://www.acmicpc.net/problem/9063
14215,Bronze III,세 막대,22792,15368,14286,68.175%,https://www.acmicpc.net/problem/14215
2477,Silver II,참외밭,31860,11544,9722,37.110%,https://www.acmicpc.net/problem/2477
2166,Gold V,다각형의 면적,38333,11962,9208,29.870%,https://www.acmicpc.net/problem/2166
11758,Gold V,CCW,17858,10661,8745,60.725%,https://www.acmicpc.net/problem/11758
1297,Bronze II,TV 크기,13774,8245,7576,61.664%,https://www.acmicpc.net/problem/1297
10569,Bronze III,다면체,7669,6729,6422,88.421%,https://www.acmicpc.net/problem/10569
3034,Bronze III,앵그리 창영,7684,5937,5608,77.759%,https://www.acmicpc.net/problem/3034
16486,Bronze IV,운동장 한 바퀴,7912,6100,5592,77.495%,https://www.acmicpc.net/problem/16486
1027,Gold IV,고층 건물,12040,5365,4617,47.524%,https://www.acmicpc.net/problem/1027
1708,Platinum V,볼록 껍질,28925,8673,4409,26.562%,https://www.acmicpc.net/problem/1708
17387,Gold II,선분 교차 2,22284,5960,4326,25.158%,https://www.acmicpc.net/problem/17387
17386,Gold III,선분 교차 1,13381,5049,3766,36.528%,https://www.acmicpc.net/problem/17386
2162,Platinum V,선분 그룹,17379,5279,3638,28.598%,https://www.acmicpc.net/problem/2162
