문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
1260,Silver II,DFS와 BFS,302036,119151,70655,38.071%,https://www.acmicpc.net/problem/1260
2606,Silver III,바이러스,190524,89814,59743,46.035%,https://www.acmicpc.net/problem/2606
2667,Silver I,단지번호붙이기,197056,88832,56511,42.921%,https://www.acmicpc.net/problem/2667
1012,Silver II,유기농 배추,202390,82963,55059,38.627%,https://www.acmicpc.net/problem/1012
11724,Silver II,연결 요소의 개수,142910,64459,42316,42.068%,https://www.acmicpc.net/problem/11724
10026,Gold V,적록색약,73676,42642,32072,56.752%,https://www.acmicpc.net/problem/10026
11725,Silver II,트리의 부모 찾기,91465,41158,28938,42.707%,https://www.acmicpc.net/problem/11725
2468,Silver I,안전 영역,114225,43290,28520,34.716%,https://www.acmicpc.net/problem/2468
4963,Silver II,섬의 개수,73874,37664,27012,49.772%,https://www.acmicpc.net/problem/4963
1987,Gold IV,알파벳,130560,39678,24120,28.203%,https://www.acmicpc.net/problem/1987
2583,Silver I,영역 구하기,52162,30132,23234,57.951%,https://www.acmicpc.net/problem/2583
2644,Silver II,촌수계산,57286,29483,22132,50.721%,https://www.acmicpc.net/problem/2644
1707,Gold IV,이분 그래프,102865,28312,17476,24.595%,https://www.acmicpc.net/problem/1707
1520,Gold III,내리막 길,90095,23443,17086,28.336%,https://www.acmicpc.net/problem/1520
2573,Gold IV,빙산,84286,24451,16308,26.414%,https://www.acmicpc.net/problem/2573
1967,Gold IV,트리의 지름,52458,21057,15971,40.739%,https://www.acmicpc.net/problem/1967
1167,Gold II,트리의 지름,61646,20709,15116,33.770%,https://www.acmicpc.net/problem/1167
1926,Silver I,그림,48994,21755,14934,42.922%,https://www.acmicpc.net/problem/1926
1068,Gold V,트리,65000,19504,14612,29.323%,https://www.acmicpc.net/problem/1068
9466,Gold III,텀 프로젝트,72452,18498,12493,24.062%,https://www.acmicpc.net/problem/9466
2638,Gold III,치즈,31154,14669,10964,45.919%,https://www.acmicpc.net/problem/2638
1937,Gold III,욕심쟁이 판다,47393,15580,10365,30.097%,https://www.acmicpc.net/problem/1937
1325,Silver I,효율적인 해킹,100708,15053,10130,18.831%,https://www.acmicpc.net/problem/1325
24479,Silver II,알고리즘 수업 - 깊이 우선 탐색 1,47552,11777,8751,23.654%,https://www.acmicpc.net/problem/24479
1743,Silver I,음식물 피하기,22483,10778,8545,47.909%,https://www.acmicpc.net/problem/1743
17471,Gold III,게리맨더링,30250,13306,8349,40.464%,https://www.acmicpc.net/problem/17471
2458,Gold IV,키 순서,19056,10397,7651,54.205%,https://www.acmicpc.net/problem/2458
2668,Gold V,숫자고르기,21138,9465,7307,45.563%,https://www.acmicpc.net/problem/2668
3109,Gold II,빵집,30188,10979,7138,31.826%,https://www.acmicpc.net/problem/3109
2251,Gold V,물통,18241,9489,7082,52.623%,https://www.acmicpc.net/problem/2251
17472,Gold I,다리 만들기 2,30048,11136,7066,33.448%,https://www.acmicpc.net/problem/17472
21736,Silver II,헌내기는 친구가 필요해,13432,8004,6691,60.007%,https://www.acmicpc.net/problem/21736
24480,Silver II,알고리즘 수업 - 깊이 우선 탐색 2,14519,7547,6601,53.877%,https://www.acmicpc.net/problem/24480
2210,Silver II,숫자판 점프,10414,7652,6117,74.498%,https://www.acmicpc.net/problem/2210
1303,Silver I,전쟁 - 전투,19365,7659,6114,38.594%,https://www.acmicpc.net/problem/1303
3184,Silver I,양,11706,7338,5818,63.841%,https://www.acmicpc.net/problem/3184
15681,Gold V,트리와 쿼리,15918,7557,5708,45.345%,https://www.acmicpc.net/problem/15681
16946,Gold II,벽 부수고 이동하기 4,26309,7539,5278,25.407%,https://www.acmicpc.net/problem/16946
3584,Gold IV,가장 가까운 공통 조상,12871,6717,5044,52.188%,https://www.acmicpc.net/problem/3584
10159,Gold IV,저울,9368,6133,4901,67.815%,https://www.acmicpc.net/problem/10159
4803,Gold IV,트리,19969,6929,4813,32.617%,https://www.acmicpc.net/problem/4803
1240,Gold V,노드사이의 거리,11227,6131,4714,54.354%,https://www.acmicpc.net/problem/1240
2250,Gold II,트리의 높이와 너비,22601,6675,4605,28.219%,https://www.acmicpc.net/problem/2250
20058,Gold III,마법사 상어와 파이어스톰,15943,7133,4360,41.113%,https://www.acmicpc.net/problem/20058
1189,Silver I,컴백홈,9152,5125,3991,55.361%,https://www.acmicpc.net/problem/1189
1103,Gold II,게임,23988,5517,3880,21.562%,https://www.acmicpc.net/problem/1103
1405,Gold IV,미친 로봇,11635,5318,3737,42.635%,https://www.acmicpc.net/problem/1405
16724,Gold III,피리 부는 사나이,10242,4642,3494,42.492%,https://www.acmicpc.net/problem/16724
13565,Silver II,침투,10160,4662,3434,44.830%,https://www.acmicpc.net/problem/13565
14716,Silver I,현수막,6250,3762,3161,62.830%,https://www.acmicpc.net/problem/14716
16173,Silver IV,점프왕 쩰리 (Small),9518,3998,3035,40.161%,https://www.acmicpc.net/problem/16173
