문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
2839,Silver IV,설탕 배달,346955,132940,98849,37.723%,https://www.acmicpc.net/problem/2839
1463,Silver III,1로 만들기,327478,112903,71984,33.153%,https://www.acmicpc.net/problem/1463
9095,Silver III,"1, 2, 3 더하기",129507,85739,59586,64.789%,https://www.acmicpc.net/problem/9095
1003,Silver III,피보나치 함수,230583,72563,57404,33.626%,https://www.acmicpc.net/problem/1003
11726,Silver III,2×n 타일링,185419,71983,53445,36.780%,https://www.acmicpc.net/problem/11726
2775,Bronze I,부녀회장이 될테야,108641,61612,52263,57.634%,https://www.acmicpc.net/problem/2775
2579,Silver III,계단 오르기,206547,71834,51879,34.164%,https://www.acmicpc.net/problem/2579
1149,Silver I,RGB거리,121525,69184,51326,55.950%,https://www.acmicpc.net/problem/1149
11053,Silver II,가장 긴 증가하는 부분 수열,176427,71054,47178,38.166%,https://www.acmicpc.net/problem/11053
1932,Silver II,정수 삼각형,99743,58605,44391,59.802%,https://www.acmicpc.net/problem/1932
1010,Silver V,다리 놓기,110256,51561,41791,47.924%,https://www.acmicpc.net/problem/1010
1912,Silver II,연속합,150880,58192,41470,37.105%,https://www.acmicpc.net/problem/1912
9461,Silver III,파도반 수열,110900,49788,40876,43.508%,https://www.acmicpc.net/problem/9461
11727,Silver III,2×n 타일링 2,81521,48199,38915,58.532%,https://www.acmicpc.net/problem/11727
2748,Bronze I,피보나치 수 2,110666,45981,37772,41.160%,https://www.acmicpc.net/problem/2748
2156,Silver I,포도주 시식,149726,51314,37106,32.717%,https://www.acmicpc.net/problem/2156
10844,Silver I,쉬운 계단 수,154615,50236,36742,30.887%,https://www.acmicpc.net/problem/10844
14501,Silver III,퇴사,104225,53409,35193,50.467%,https://www.acmicpc.net/problem/14501
12865,Gold V,평범한 배낭,145199,55101,34833,36.116%,https://www.acmicpc.net/problem/12865
2193,Silver III,이친수,102906,44281,33836,41.628%,https://www.acmicpc.net/problem/2193
2747,Bronze II,피보나치 수,79674,38304,31560,49.659%,https://www.acmicpc.net/problem/2747
1904,Silver III,01타일,108911,35676,28293,31.736%,https://www.acmicpc.net/problem/1904
11660,Silver I,구간 합 구하기 5,79812,36430,26988,43.833%,https://www.acmicpc.net/problem/11660
9465,Silver I,스티커,79063,37347,26617,46.822%,https://www.acmicpc.net/problem/9465
11052,Silver I,카드 구매하기,53988,33271,25146,61.597%,https://www.acmicpc.net/problem/11052
2293,Gold V,동전 1,68406,32490,24775,47.502%,https://www.acmicpc.net/problem/2293
11054,Gold IV,가장 긴 바이토닉 부분 수열,57417,29582,23184,51.161%,https://www.acmicpc.net/problem/11054
11057,Silver I,오르막 수,58002,28465,22115,47.791%,https://www.acmicpc.net/problem/11057
11055,Silver II,가장 큰 증가하는 부분 수열,57714,25847,20568,44.254%,https://www.acmicpc.net/problem/11055
1699,Silver II,제곱수의 합,64389,26358,19240,40.031%,https://www.acmicpc.net/problem/1699
9655,Silver V,돌 게임,34654,22741,19202,66.719%,https://www.acmicpc.net/problem/9655
11722,Silver II,가장 긴 감소하는 부분 수열,37494,23101,19005,62.665%,https://www.acmicpc.net/problem/11722
11051,Silver II,이항 계수 2,63378,24125,18982,38.329%,https://www.acmicpc.net/problem/11051
2294,Gold V,동전 2,78759,24476,17366,30.041%,https://www.acmicpc.net/problem/2294
1520,Gold III,내리막 길,90095,23443,17086,28.336%,https://www.acmicpc.net/problem/1520
2225,Gold V,합분해,48573,22128,16462,44.221%,https://www.acmicpc.net/problem/2225
9184,Silver II,신나는 함수 실행,48902,21648,16302,42.528%,https://www.acmicpc.net/problem/9184
2133,Gold IV,타일 채우기,55471,20391,16175,36.552%,https://www.acmicpc.net/problem/2133
2565,Gold V,전깃줄,41225,19904,15981,47.903%,https://www.acmicpc.net/problem/2565
1309,Silver I,동물원,38887,18951,15036,46.905%,https://www.acmicpc.net/problem/1309
11048,Silver II,이동하기,34363,20551,14864,58.863%,https://www.acmicpc.net/problem/11048
17070,Gold V,파이프 옮기기 1,45065,21498,14768,46.292%,https://www.acmicpc.net/problem/17070
2096,Gold V,내려가기,47347,18244,14332,36.857%,https://www.acmicpc.net/problem/2096
14002,Gold IV,가장 긴 증가하는 부분 수열 4,46410,18643,14141,39.878%,https://www.acmicpc.net/problem/14002
1890,Silver I,점프,52351,16838,12907,31.022%,https://www.acmicpc.net/problem/1890
10942,Gold IV,팰린드롬?,60981,18460,12813,30.170%,https://www.acmicpc.net/problem/10942
11049,Gold III,행렬 곱셈 순서,37833,17021,12275,43.854%,https://www.acmicpc.net/problem/11049
12852,Silver I,1로 만들기 2,32476,15258,12044,46.994%,https://www.acmicpc.net/problem/12852
24416,Bronze I,알고리즘 수업 - 피보나치 수 1,23838,13669,12003,58.373%,https://www.acmicpc.net/problem/24416
11066,Gold III,파일 합치기,33839,16919,11448,48.828%,https://www.acmicpc.net/problem/11066
14916,Silver V,거스름돈,28293,13127,10861,47.024%,https://www.acmicpc.net/problem/14916
1937,Gold III,욕심쟁이 판다,47393,15580,10365,30.097%,https://www.acmicpc.net/problem/1937
15988,Silver II,"1, 2, 3 더하기 3",36683,13399,10292,34.661%,https://www.acmicpc.net/problem/15988
1915,Gold IV,가장 큰 정사각형,45652,13988,10161,29.911%,https://www.acmicpc.net/problem/1915
1965,Silver II,상자넣기,23709,11634,9710,49.775%,https://www.acmicpc.net/problem/1965
2098,Gold I,외판원 순회,57595,15822,9566,27.594%,https://www.acmicpc.net/problem/2098
1516,Gold III,게임 개발,23939,11602,9027,48.323%,https://www.acmicpc.net/problem/1516
7579,Gold III,앱,37435,11889,8736,33.386%,https://www.acmicpc.net/problem/7579
2011,Gold V,암호코드,58775,11813,8703,20.541%,https://www.acmicpc.net/problem/2011
9656,Silver V,돌 게임 2,12414,9225,8515,75.488%,https://www.acmicpc.net/problem/9656
17404,Gold IV,RGB거리 2,17325,10251,8504,59.539%,https://www.acmicpc.net/problem/17404
15486,Gold V,퇴사 2,28649,11674,8296,39.194%,https://www.acmicpc.net/problem/15486
10826,Silver V,피보나치 수 4,26409,9115,7823,39.110%,https://www.acmicpc.net/problem/10826
16194,Silver I,카드 구매하기 2,12611,9398,7771,75.542%,https://www.acmicpc.net/problem/16194
5557,Gold V,1학년,21015,9890,7765,47.175%,https://www.acmicpc.net/problem/5557
2631,Gold IV,줄세우기,14012,8993,7587,65.958%,https://www.acmicpc.net/problem/2631
15990,Silver II,"1, 2, 3 더하기 5",31029,10491,7435,31.081%,https://www.acmicpc.net/problem/15990
11060,Silver II,점프 점프,23249,8693,6848,36.608%,https://www.acmicpc.net/problem/11060
1495,Silver I,기타리스트,22054,8613,6753,38.606%,https://www.acmicpc.net/problem/1495
2533,Gold III,사회망 서비스(SNS),24727,9837,6710,37.699%,https://www.acmicpc.net/problem/2533
5582,Gold V,공통 부분 문자열,20359,8323,6527,42.493%,https://www.acmicpc.net/problem/5582
2302,Silver I,극장 좌석,19848,7791,6353,39.012%,https://www.acmicpc.net/problem/2302
2629,Gold III,양팔저울,25527,8721,6296,34.416%,https://www.acmicpc.net/problem/2629
2491,Silver IV,수열,21647,7621,6230,35.124%,https://www.acmicpc.net/problem/2491
13398,Gold V,연속합 2,26180,8054,6032,30.061%,https://www.acmicpc.net/problem/13398
13301,Silver V,타일 장식물,13682,6839,5865,51.687%,https://www.acmicpc.net/problem/13301
15681,Gold V,트리와 쿼리,15918,7557,5708,45.345%,https://www.acmicpc.net/problem/15681
15989,Gold V,"1, 2, 3 더하기 4",10951,7013,5624,64.740%,https://www.acmicpc.net/problem/15989
2056,Gold IV,작업,16282,7626,5613,44.206%,https://www.acmicpc.net/problem/2056
1562,Gold I,계단 수,13754,7252,5544,52.184%,https://www.acmicpc.net/problem/1562
10164,Silver II,격자상의 경로,18931,7047,5507,37.235%,https://www.acmicpc.net/problem/10164
1446,Silver I,지름길,12359,7075,5380,57.645%,https://www.acmicpc.net/problem/1446
2240,Gold V,자두나무,19158,7176,5164,38.443%,https://www.acmicpc.net/problem/2240
9657,Silver III,돌 게임 3,13521,5952,5121,46.394%,https://www.acmicpc.net/problem/9657
1535,Silver II,안녕,11948,6449,4918,56.078%,https://www.acmicpc.net/problem/1535
2670,Silver IV,연속부분최대곱,17556,6234,4886,35.720%,https://www.acmicpc.net/problem/2670
16395,Silver V,파스칼의 삼각형,8107,5470,4816,69.545%,https://www.acmicpc.net/problem/16395
1509,Gold I,팰린드롬 분할,13490,6502,4673,47.255%,https://www.acmicpc.net/problem/1509
2502,Silver I,떡 먹는 호랑이,11709,5440,4434,52.377%,https://www.acmicpc.net/problem/2502
2618,Platinum IV,경찰차,18505,6192,4343,34.864%,https://www.acmicpc.net/problem/2618
1256,Gold II,사전,18915,5877,4320,31.713%,https://www.acmicpc.net/problem/1256
4811,Gold V,알약,8287,5504,4263,68.526%,https://www.acmicpc.net/problem/4811
