문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
11720,Bronze IV,숫자의 합,274706,152510,125214,56.005%,https://www.acmicpc.net/problem/11720
1152,Bronze II,단어의 개수,417131,136650,109758,33.186%,https://www.acmicpc.net/problem/1152
10809,Bronze II,알파벳 찾기,240101,128951,106127,53.359%,https://www.acmicpc.net/problem/10809
2675,Bronze II,문자열 반복,247908,124693,105691,50.028%,https://www.acmicpc.net/problem/2675
1157,Bronze I,단어 공부,309404,124270,97880,39.858%,https://www.acmicpc.net/problem/1157
8958,Bronze II,OX퀴즈,230156,118230,97540,51.467%,https://www.acmicpc.net/problem/8958
9012,Silver IV,괄호,224258,106519,76384,46.226%,https://www.acmicpc.net/problem/9012
1316,Silver V,그룹 단어 체커,172331,92008,75584,53.727%,https://www.acmicpc.net/problem/1316
2941,Silver V,크로아티아 알파벳,193050,86177,72482,44.550%,https://www.acmicpc.net/problem/2941
11718,Sprout,그대로 출력하기,259230,83000,69224,34.472%,https://www.acmicpc.net/problem/11718
2743,Sprout,단어 길이 재기,90109,71321,64185,80.195%,https://www.acmicpc.net/problem/2743
1181,Silver V,단어 정렬,202590,85416,63981,40.466%,https://www.acmicpc.net/problem/1181
1427,Silver V,소트인사이드,103945,68049,56236,65.782%,https://www.acmicpc.net/problem/1427
27866,Sprout,문자와 문자열,85074,56797,51850,67.804%,https://www.acmicpc.net/problem/27866
9086,Sprout,문자열,86349,54850,49667,64.271%,https://www.acmicpc.net/problem/9086
10988,Bronze III,팰린드롬인지 확인하기,89747,54521,46354,60.962%,https://www.acmicpc.net/problem/10988
1541,Silver II,잃어버린 괄호,94715,52059,40597,54.351%,https://www.acmicpc.net/problem/1541
1764,Silver IV,듣보잡,119966,51796,40439,41.501%,https://www.acmicpc.net/problem/1764
4949,Silver IV,균형잡힌 세상,148433,50479,38987,32.759%,https://www.acmicpc.net/problem/4949
11721,Bronze III,열 개씩 끊어 출력하기,77638,42728,36986,55.647%,https://www.acmicpc.net/problem/11721
1259,Bronze I,팰린드롬수,72402,41031,36203,56.835%,https://www.acmicpc.net/problem/1259
10798,Bronze I,세로읽기,85981,41136,35118,48.301%,https://www.acmicpc.net/problem/10798
11719,Bronze III,그대로 출력하기 2,68532,37573,32776,58.727%,https://www.acmicpc.net/problem/11719
10808,Bronze IV,알파벳 개수,56995,38733,30853,68.387%,https://www.acmicpc.net/problem/10808
9251,Gold V,LCS,93750,39051,28637,41.005%,https://www.acmicpc.net/problem/9251
10953,Bronze III,A+B - 6,45757,30908,27308,68.743%,https://www.acmicpc.net/problem/10953
2745,Bronze II,진법 변환,64926,31786,26979,48.649%,https://www.acmicpc.net/problem/2745
25206,Silver V,너의 평점은,69747,30384,26734,43.896%,https://www.acmicpc.net/problem/25206
14425,Silver IV,문자열 집합,57756,31289,23980,53.913%,https://www.acmicpc.net/problem/14425
2744,Sprout,대소문자 바꾸기,34074,25369,23028,75.507%,https://www.acmicpc.net/problem/2744
2754,Sprout,학점계산,40328,23109,21535,58.195%,https://www.acmicpc.net/problem/2754
1032,Bronze I,명령 프롬프트,39674,22804,19980,59.124%,https://www.acmicpc.net/problem/1032
1100,Bronze II,하얀 칸,29295,20357,18039,71.846%,https://www.acmicpc.net/problem/1100
15829,Bronze II,Hashing,67840,20650,17896,30.206%,https://www.acmicpc.net/problem/15829
1439,Silver V,뒤집기,38628,21751,17335,56.539%,https://www.acmicpc.net/problem/1439
9935,Gold IV,문자열 폭발,88562,24142,17033,26.524%,https://www.acmicpc.net/problem/9935
9093,Bronze I,단어 뒤집기,41557,22312,16886,54.633%,https://www.acmicpc.net/problem/9093
10610,Silver IV,30,51977,21121,16830,40.093%,https://www.acmicpc.net/problem/10610
11478,Silver III,서로 다른 부분 문자열의 개수,32976,20704,16664,63.311%,https://www.acmicpc.net/problem/11478
11656,Silver IV,접미사 배열,27438,19252,16035,71.005%,https://www.acmicpc.net/problem/11656
17413,Silver III,단어 뒤집기 2,34710,19571,15220,56.850%,https://www.acmicpc.net/problem/17413
11655,Bronze I,ROT13,29058,17366,14379,60.299%,https://www.acmicpc.net/problem/11655
1212,Bronze II,8진수 2진수,49871,17106,14320,36.358%,https://www.acmicpc.net/problem/1212
4999,Bronze V,아!,24241,14904,13995,62.441%,https://www.acmicpc.net/problem/4999
2902,Bronze II,KMP는 왜 KMP일까?,17989,14636,13230,82.636%,https://www.acmicpc.net/problem/2902
1264,Bronze IV,모음의 개수,28156,14619,13216,54.115%,https://www.acmicpc.net/problem/1264
10824,Bronze III,네 수,31802,14496,12714,45.994%,https://www.acmicpc.net/problem/10824
25501,Bronze II,재귀의 귀재,26847,14627,12656,55.636%,https://www.acmicpc.net/problem/25501
1302,Silver IV,베스트셀러,28094,15202,12622,54.347%,https://www.acmicpc.net/problem/1302
7567,Bronze II,그릇,18816,13542,12041,73.443%,https://www.acmicpc.net/problem/7567
1373,Bronze I,2진수 8진수,36152,14385,11892,41.254%,https://www.acmicpc.net/problem/1373
