문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
15649,Silver III,N과 M (1),120984,77631,49035,63.161%,https://www.acmicpc.net/problem/15649
15650,Silver III,N과 M (2),86425,64484,45466,73.930%,https://www.acmicpc.net/problem/15650
15652,Silver III,N과 M (4),61050,48115,38259,78.781%,https://www.acmicpc.net/problem/15652
15651,Silver III,N과 M (3),75337,50333,37459,66.914%,https://www.acmicpc.net/problem/15651
14888,Silver I,연산자 끼워넣기,112954,51897,34544,46.932%,https://www.acmicpc.net/problem/14888
14889,Silver I,스타트와 링크,106235,52226,30834,46.174%,https://www.acmicpc.net/problem/14889
15686,Gold V,치킨 배달,96167,47466,28680,46.172%,https://www.acmicpc.net/problem/15686
1182,Silver II,부분수열의 합,93591,42423,27680,43.351%,https://www.acmicpc.net/problem/1182
1759,Gold V,암호 만들기,81607,39062,26777,44.810%,https://www.acmicpc.net/problem/1759
6603,Silver II,로또,63401,36086,25301,55.728%,https://www.acmicpc.net/problem/6603
15654,Silver III,N과 M (5),42339,30970,24659,72.636%,https://www.acmicpc.net/problem/15654
1987,Gold IV,알파벳,130560,39678,24120,28.203%,https://www.acmicpc.net/problem/1987
2580,Gold IV,스도쿠,105615,31123,19816,27.090%,https://www.acmicpc.net/problem/2580
15657,Silver III,N과 M (8),28281,22985,19596,81.284%,https://www.acmicpc.net/problem/15657
15663,Silver II,N과 M (9),46595,23304,17800,49.297%,https://www.acmicpc.net/problem/15663
15655,Silver III,N과 M (6),25191,21093,16972,84.237%,https://www.acmicpc.net/problem/15655
10819,Silver II,차이를 최대로,32376,21143,16332,66.068%,https://www.acmicpc.net/problem/10819
15683,Gold III,감시,54977,26542,16243,45.142%,https://www.acmicpc.net/problem/15683
10974,Silver III,모든 순열,31823,20758,15916,66.116%,https://www.acmicpc.net/problem/10974
15656,Silver III,N과 M (7),24599,19276,15717,78.659%,https://www.acmicpc.net/problem/15656
15666,Silver II,N과 M (12),21790,17316,14990,80.549%,https://www.acmicpc.net/problem/15666
10971,Silver II,외판원 순회 2,61626,23064,13774,34.153%,https://www.acmicpc.net/problem/10971
2529,Silver I,부등호,28995,16960,11545,57.538%,https://www.acmicpc.net/problem/2529
15664,Silver II,N과 M (10),17062,13479,11181,79.631%,https://www.acmicpc.net/problem/15664
15665,Silver II,N과 M (11),17044,12896,10463,76.489%,https://www.acmicpc.net/problem/15665
15684,Gold III,사다리 조작,74103,20081,9804,22.124%,https://www.acmicpc.net/problem/15684
1062,Gold IV,가르침,54417,15608,9177,26.248%,https://www.acmicpc.net/problem/1062
2023,Gold V,신기한 소수,26387,12836,9035,46.011%,https://www.acmicpc.net/problem/2023
2239,Gold IV,스도쿠,25819,12472,8923,45.635%,https://www.acmicpc.net/problem/2239
1038,Gold V,감소하는 수,31508,10410,8225,35.129%,https://www.acmicpc.net/problem/1038
2961,Silver II,도영이가 만든 맛있는 음식,18175,10225,7449,55.007%,https://www.acmicpc.net/problem/2961
17406,Gold IV,배열 돌리기 4,23592,10040,6911,39.614%,https://www.acmicpc.net/problem/17406
17136,Gold II,색종이 붙이기,28382,11266,6407,36.147%,https://www.acmicpc.net/problem/17136
2661,Gold IV,좋은수열,16077,7914,6075,49.906%,https://www.acmicpc.net/problem/2661
19236,Gold II,청소년 상어,14501,9183,5948,65.199%,https://www.acmicpc.net/problem/19236
1941,Gold III,소문난 칠공주,15174,8182,5298,51.857%,https://www.acmicpc.net/problem/1941
1799,Gold I,비숍,30029,7530,5249,24.504%,https://www.acmicpc.net/problem/1799
5568,Silver IV,카드 놓기,9221,6118,4863,67.504%,https://www.acmicpc.net/problem/5568
16987,Gold V,계란으로 계란치기,12293,6371,4409,50.989%,https://www.acmicpc.net/problem/16987
18428,Gold V,감시 피하기,14108,6360,4248,44.608%,https://www.acmicpc.net/problem/18428
17825,Gold II,주사위 윷놀이,14936,6667,4119,41.149%,https://www.acmicpc.net/problem/17825
15658,Silver II,연산자 끼워넣기 (2),9520,4942,4075,52.601%,https://www.acmicpc.net/problem/15658
15661,Gold V,링크와 스타트,13531,5930,4017,44.413%,https://www.acmicpc.net/problem/15661
1189,Silver I,컴백홈,9152,5125,3991,55.361%,https://www.acmicpc.net/problem/1189
7490,Gold V,0 만들기,10176,5077,3808,48.809%,https://www.acmicpc.net/problem/7490
16198,Silver I,에너지 모으기,6185,4654,3756,76.248%,https://www.acmicpc.net/problem/16198
1405,Gold IV,미친 로봇,11635,5318,3737,42.635%,https://www.acmicpc.net/problem/1405
6987,Gold IV,월드컵,17120,4995,3329,29.186%,https://www.acmicpc.net/problem/6987
16922,Silver III,로마 숫자 만들기,7004,3868,3094,54.110%,https://www.acmicpc.net/problem/16922
18429,Silver III,근손실,5771,3688,3079,63.603%,https://www.acmicpc.net/problem/18429
19942,Gold IV,다이어트,14610,3842,2628,25.542%,https://www.acmicpc.net/problem/19942
16938,Gold V,캠프 준비,4372,3066,2347,70.185%,https://www.acmicpc.net/problem/16938
1174,Gold V,줄어드는 수,6586,2769,2284,43.029%,https://www.acmicpc.net/problem/1174
3980,Gold V,선발 명단,6415,2996,2257,44.333%,https://www.acmicpc.net/problem/3980
1342,Silver I,행운의 문자열,6874,2881,2138,43.001%,https://www.acmicpc.net/problem/1342
12101,Silver I,"1, 2, 3 더하기 2",4048,2540,2077,63.150%,https://www.acmicpc.net/problem/12101
2992,Silver III,크면서 작은 수,3914,2290,1900,60.317%,https://www.acmicpc.net/problem/2992
18290,Silver I,NM과 K (1),10351,3108,1884,26.350%,https://www.acmicpc.net/problem/18290
16943,Silver I,숫자 재배치,4820,2309,1732,45.784%,https://www.acmicpc.net/problem/16943
17182,Gold III,우주 탐사선,3957,2220,1684,55.240%,https://www.acmicpc.net/problem/17182
6443,Gold V,애너그램,6334,2069,1506,32.818%,https://www.acmicpc.net/problem/6443
14650,Silver II,걷다보니 신천역 삼 (Small),2111,1541,1334,75.795%,https://www.acmicpc.net/problem/14650
10597,Gold V,순열장난,5322,1662,1231,30.599%,https://www.acmicpc.net/problem/10597
3967,Gold V,매직 스타,2749,1459,1053,52.968%,https://www.acmicpc.net/problem/3967
9742,Silver III,순열,4113,1436,1039,34.995%,https://www.acmicpc.net/problem/9742
19949,Silver II,영재의 시험,1738,1367,1020,78.764%,https://www.acmicpc.net/problem/19949
18430,Gold IV,무기 공학,2833,1371,1002,47.421%,https://www.acmicpc.net/problem/18430
9207,Gold IV,페그 솔리테어,2768,1376,967,49.717%,https://www.acmicpc.net/problem/9207
9944,Gold III,NxM 보드 완주하기,4057,1340,861,30.772%,https://www.acmicpc.net/problem/9944
4574,Gold I,스도미노쿠,2752,1277,861,45.387%,https://www.acmicpc.net/problem/4574
14712,Gold V,넴모넴모 (Easy),2339,1225,860,53.817%,https://www.acmicpc.net/problem/14712
16986,Gold II,인싸들의 가위바위보,2762,1260,844,43.371%,https://www.acmicpc.net/problem/16986
21735,Silver III,눈덩이 굴리기,2171,866,724,42.563%,https://www.acmicpc.net/problem/21735
19699,Silver II,소-난다!,2078,857,715,39.989%,https://www.acmicpc.net/problem/19699
16638,Gold I,괄호 추가하기 2,1539,882,694,58.027%,https://www.acmicpc.net/problem/16638
1497,Silver I,기타콘서트,2523,894,683,34.670%,https://www.acmicpc.net/problem/1497
2026,Gold II,소풍,4222,958,673,23.831%,https://www.acmicpc.net/problem/2026
16945,Silver II,매직 스퀘어로 변경하기,1603,903,639,52.636%,https://www.acmicpc.net/problem/16945
20208,Gold V,진우의 민트초코우유,2185,889,620,39.718%,https://www.acmicpc.net/problem/20208
17255,Gold IV,N으로 만들기,1532,774,596,50.551%,https://www.acmicpc.net/problem/17255
20168,Gold V,골목 대장 호석 - 기능성,2002,777,561,40.043%,https://www.acmicpc.net/problem/20168
17370,Gold III,육각형 우리 속의 개미,1366,733,534,59.978%,https://www.acmicpc.net/problem/17370
26169,Silver III,세 번 이내에 사과를 먹자,2135,685,500,31.646%,https://www.acmicpc.net/problem/26169
5913,Gold IV,준규와 사과,975,609,493,62.563%,https://www.acmicpc.net/problem/5913
2922,Gold IV,즐거운 단어,1319,605,473,47.681%,https://www.acmicpc.net/problem/2922
24954,Silver I,물약 구매,993,546,421,55.322%,https://www.acmicpc.net/problem/24954
15659,Gold IV,연산자 끼워넣기 (3),975,532,415,57.084%,https://www.acmicpc.net/problem/15659
22944,Gold III,죽음의 비,3292,680,413,17.411%,https://www.acmicpc.net/problem/22944
21772,Gold V,가희의 고구마 먹방,1665,564,405,30.752%,https://www.acmicpc.net/problem/21772
16457,Silver I,단풍잎 이야기,1175,483,350,39.150%,https://www.acmicpc.net/problem/16457
15811,Gold III,복면산?!,1882,542,346,26.677%,https://www.acmicpc.net/problem/15811
15918,Gold V,랭퍼든 수열쟁이야!!,628,475,338,75.111%,https://www.acmicpc.net/problem/15918
20950,Silver II,미술가 미미,1451,440,295,29.889%,https://www.acmicpc.net/problem/20950
16571,Gold III,알파 틱택토,1086,435,289,39.535%,https://www.acmicpc.net/problem/16571
8913,Gold III,문자열 뽑기,1246,406,280,36.411%,https://www.acmicpc.net/problem/8913
1469,Gold V,숌 사이 수열,1024,362,258,35.198%,https://www.acmicpc.net/problem/1469
17359,Silver II,전구 길만 걷자,946,337,255,36.119%,https://www.acmicpc.net/problem/17359
28447,Silver II,마라탕 재료 고르기,582,293,251,50.100%,https://www.acmicpc.net/problem/28447
15270,Silver I,친구 팰린드롬,1409,391,249,29.856%,https://www.acmicpc.net/problem/15270
27231,Gold V,2023년이 기대되는 이유,791,320,239,41.493%,https://www.acmicpc.net/problem/27231
18442,Silver II,우체국 1,1432,319,232,25.523%,https://www.acmicpc.net/problem/18442
1443,Gold II,망가진 계산기,816,296,232,37.601%,https://www.acmicpc.net/problem/1443
27375,Silver I,금공강 사수,507,285,226,61.081%,https://www.acmicpc.net/problem/27375
2731,Platinum V,1379와 세제곱,661,306,226,43.629%,https://www.acmicpc.net/problem/2731
26170,Silver III,사과 빨리 먹기,463,263,216,58.696%,https://www.acmicpc.net/problem/26170
4056,Gold IV,스-스-스도쿠,1224,253,213,23.562%,https://www.acmicpc.net/problem/4056
1553,Gold V,도미노 찾기,387,256,213,70.764%,https://www.acmicpc.net/problem/1553
24891,Gold V,단어 마방진,678,251,189,36.069%,https://www.acmicpc.net/problem/24891
25328,Silver III,문자열 집합 조합하기,555,248,186,43.972%,https://www.acmicpc.net/problem/25328
22953,Gold IV,도도의 음식 준비,855,265,183,30.099%,https://www.acmicpc.net/problem/22953
14629,Silver I,숫자 조각,1206,280,183,25.067%,https://www.acmicpc.net/problem/14629
15566,Silver I,개구리 1,755,227,172,29.302%,https://www.acmicpc.net/problem/15566
27958,Gold IV,사격 연습,894,277,171,35.849%,https://www.acmicpc.net/problem/27958
25602,Silver I,캔 주기,422,194,166,48.824%,https://www.acmicpc.net/problem/25602
1352,Gold I,문자열,818,215,157,36.175%,https://www.acmicpc.net/problem/1352
23284,Gold V,모든 스택 수열,502,218,151,55.720%,https://www.acmicpc.net/problem/23284
20008,Gold V,몬스터를 처치하자!,410,179,132,44.147%,https://www.acmicpc.net/problem/20008
25585,Gold V,86 ─에이티식스─ 1,492,150,129,35.635%,https://www.acmicpc.net/problem/25585
30959,Silver I,앙상블할래?,250,141,121,56.279%,https://www.acmicpc.net/problem/30959
17492,Gold IV,바둑알 점프,363,154,119,44.906%,https://www.acmicpc.net/problem/17492
30971,Silver II,육회비빔밥,248,126,118,59.296%,https://www.acmicpc.net/problem/30971
28286,Silver II,재채점을 기다리는 중,335,143,114,46.721%,https://www.acmicpc.net/problem/28286
13502,Gold II,단어퍼즐 2,661,176,113,25.223%,https://www.acmicpc.net/problem/13502
11037,Gold IV,중복 없는 수,401,133,103,37.868%,https://www.acmicpc.net/problem/11037
31871,Silver II,영일랜드,253,128,101,50.000%,https://www.acmicpc.net/problem/31871
10421,Gold V,수식 완성하기,437,147,99,30.368%,https://www.acmicpc.net/problem/10421
4658,Gold V,삼각형 게임,215,115,99,56.250%,https://www.acmicpc.net/problem/4658
31219,Gold III,세계 일주,256,124,98,52.688%,https://www.acmicpc.net/problem/31219
30090,Silver I,백신 개발,484,131,96,31.475%,https://www.acmicpc.net/problem/30090
