문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
2798,Bronze II,블랙잭,192570,96954,74337,49.048%,https://www.acmicpc.net/problem/2798
4673,Silver V,셀프 넘버,185670,93119,72277,49.305%,https://www.acmicpc.net/problem/4673
1065,Silver IV,한수,152540,84158,69718,54.804%,https://www.acmicpc.net/problem/1065
2231,Bronze II,분해합,168421,78038,61436,45.434%,https://www.acmicpc.net/problem/2231
1018,Silver IV,체스판 다시 칠하기,133268,66549,53148,49.970%,https://www.acmicpc.net/problem/1018
1436,Silver V,영화감독 숌,107121,63212,51045,58.633%,https://www.acmicpc.net/problem/1436
7568,Silver V,덩치,106937,59714,50467,56.243%,https://www.acmicpc.net/problem/7568
2309,Bronze I,일곱 난쟁이,157243,65709,45682,41.685%,https://www.acmicpc.net/problem/2309
9663,Gold IV,N-Queen,123772,59745,38612,46.722%,https://www.acmicpc.net/problem/9663
14501,Silver III,퇴사,104225,53409,35193,50.467%,https://www.acmicpc.net/problem/14501
14502,Gold IV,연구소,107037,62018,34734,55.201%,https://www.acmicpc.net/problem/14502
14888,Silver I,연산자 끼워넣기,112954,51897,34563,46.932%,https://www.acmicpc.net/problem/14888
2501,Bronze III,약수 구하기,75735,37435,33000,50.090%,https://www.acmicpc.net/problem/2501
14889,Silver I,스타트와 링크,106307,52262,30834,46.177%,https://www.acmicpc.net/problem/14889
15686,Gold V,치킨 배달,96167,47466,28703,46.172%,https://www.acmicpc.net/problem/15686
2468,Silver I,안전 영역,114225,43290,28531,34.716%,https://www.acmicpc.net/problem/2468
1182,Silver II,부분수열의 합,93612,42436,27704,43.352%,https://www.acmicpc.net/problem/1182
1759,Gold V,암호 만들기,81607,39062,26784,44.810%,https://www.acmicpc.net/problem/1759
14500,Gold IV,테트로미노,97471,37913,24711,36.576%,https://www.acmicpc.net/problem/14500
1476,Silver V,날짜 계산,43218,27717,22565,66.615%,https://www.acmicpc.net/problem/1476
1107,Gold V,리모컨,118372,29599,20885,23.409%,https://www.acmicpc.net/problem/1107
2003,Silver IV,수들의 합 2,60736,29374,20189,48.374%,https://www.acmicpc.net/problem/2003
19532,Bronze II,수학은 비대면강의입니다,42946,21758,19038,51.223%,https://www.acmicpc.net/problem/19532
12100,Gold I,2048 (Easy),96594,28696,16921,26.805%,https://www.acmicpc.net/problem/12100
10819,Silver II,차이를 최대로,32376,21143,16332,66.068%,https://www.acmicpc.net/problem/10819
15683,Gold III,감시,54977,26542,16243,45.142%,https://www.acmicpc.net/problem/15683
1977,Bronze II,완전제곱수,37881,18096,15994,48.837%,https://www.acmicpc.net/problem/1977
10974,Silver III,모든 순열,31823,20758,15916,66.116%,https://www.acmicpc.net/problem/10974
6064,Silver I,카잉 달력,75288,19928,14958,26.989%,https://www.acmicpc.net/problem/6064
18111,Silver II,마인크래프트,73374,19242,14235,23.871%,https://www.acmicpc.net/problem/18111
10971,Silver II,외판원 순회 2,61626,23064,13774,34.153%,https://www.acmicpc.net/problem/10971
2589,Gold V,보물섬,47883,18026,12959,38.103%,https://www.acmicpc.net/problem/2589
1075,Bronze II,나누기,26264,14540,12865,57.474%,https://www.acmicpc.net/problem/1075
3085,Silver II,사탕 게임,51109,18026,12357,34.055%,https://www.acmicpc.net/problem/3085
2529,Silver I,부등호,29040,16998,11545,57.574%,https://www.acmicpc.net/problem/2529
1057,Silver IV,토너먼트,23298,13086,11169,57.969%,https://www.acmicpc.net/problem/1057
