문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
1000,Sprout,A+B,1162297,455614,311998,38.807%,https://www.acmicpc.net/problem/1000
1001,Sprout,A-B,470024,320291,267759,69.359%,https://www.acmicpc.net/problem/1001
10998,Sprout,A×B,334194,254051,222738,76.845%,https://www.acmicpc.net/problem/10998
1008,Sprout,A/B,783996,265594,220373,34.503%,https://www.acmicpc.net/problem/1008
10869,Sprout,사칙연산,585166,262507,220238,44.888%,https://www.acmicpc.net/problem/10869
2739,Sprout,구구단,457232,229416,190517,50.672%,https://www.acmicpc.net/problem/2739
10430,Bronze V,나머지,430555,220908,190067,51.524%,https://www.acmicpc.net/problem/10430
2753,Sprout,윤년,407379,211949,175855,51.742%,https://www.acmicpc.net/problem/2753
2588,Bronze III,곱셈,423436,197486,164509,46.655%,https://www.acmicpc.net/problem/2588
8393,Bronze V,합,302103,192739,162545,64.014%,https://www.acmicpc.net/problem/8393
2884,Bronze III,알람 시계,514795,194853,160492,37.740%,https://www.acmicpc.net/problem/2884
10818,Bronze III,"최소, 최대",407052,184180,138630,44.101%,https://www.acmicpc.net/problem/10818
15552,Sprout,빠른 A+B,344096,155360,125249,45.474%,https://www.acmicpc.net/problem/15552
11720,Bronze IV,숫자의 합,274560,152425,125147,56.006%,https://www.acmicpc.net/problem/11720
1546,Bronze I,평균,300652,152552,123398,50.242%,https://www.acmicpc.net/problem/1546
18108,Bronze V,1998년생인 내가 태국에서는 2541년생?!,212469,135083,120436,63.699%,https://www.acmicpc.net/problem/18108
3052,Bronze II,나머지,230517,133290,110778,57.699%,https://www.acmicpc.net/problem/3052
2525,Bronze III,오븐 시계,319270,122331,103130,38.106%,https://www.acmicpc.net/problem/2525
1110,Bronze I,더하기 사이클,267203,126386,102972,47.259%,https://www.acmicpc.net/problem/1110
2480,Bronze IV,주사위 세개,257277,120305,101330,46.760%,https://www.acmicpc.net/problem/2480
2577,Bronze II,숫자의 개수,201324,122121,99820,60.294%,https://www.acmicpc.net/problem/2577
2839,Silver IV,설탕 배달,346948,132938,98849,37.724%,https://www.acmicpc.net/problem/2839
2908,Bronze II,상수,159702,109502,93246,68.901%,https://www.acmicpc.net/problem/2908
1978,Bronze II,소수 찾기,223568,106152,84970,47.286%,https://www.acmicpc.net/problem/1978
11382,Sprout,꼬마 정민,232627,92940,83831,40.473%,https://www.acmicpc.net/problem/11382
4344,Bronze I,평균은 넘겠지,278316,122832,81868,40.445%,https://www.acmicpc.net/problem/4344
10872,Sprout,팩토리얼,177645,97743,80551,55.256%,https://www.acmicpc.net/problem/10872
2292,Bronze II,벌집,192581,87461,74436,44.882%,https://www.acmicpc.net/problem/2292
25304,Bronze IV,영수증,151083,83080,73255,55.580%,https://www.acmicpc.net/problem/25304
4673,Silver V,셀프 넘버,185653,93109,72274,49.303%,https://www.acmicpc.net/problem/4673
