문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
10810,Bronze III,공 넣기,96263,50001,43927,52.390%,https://www.acmicpc.net/problem/10810
10813,Bronze II,공 바꾸기,75920,47934,42951,63.571%,https://www.acmicpc.net/problem/10813
1966,Silver III,프린터 큐,83960,48615,38314,58.753%,https://www.acmicpc.net/problem/1966
10811,Bronze II,바구니 뒤집기,81545,42673,37492,52.858%,https://www.acmicpc.net/problem/10811
14503,Gold V,로봇 청소기,68249,37178,25407,53.866%,https://www.acmicpc.net/problem/14503
3190,Gold IV,뱀,80053,34403,23175,41.393%,https://www.acmicpc.net/problem/3190
16236,Gold III,아기 상어,73287,34604,21208,43.845%,https://www.acmicpc.net/problem/16236
16234,Gold IV,인구 이동,74252,31592,18560,39.284%,https://www.acmicpc.net/problem/16234
14499,Gold IV,주사위 굴리기,53775,24737,18062,45.285%,https://www.acmicpc.net/problem/14499
24262,Bronze V,알고리즘 수업 - 알고리즘의 수행 시간 1,24723,18535,17377,75.962%,https://www.acmicpc.net/problem/24262
13460,Gold I,구슬 탈출 2,96610,29504,16978,28.167%,https://www.acmicpc.net/problem/13460
14891,Gold V,톱니바퀴,41334,22806,16961,55.394%,https://www.acmicpc.net/problem/14891
12100,Gold I,2048 (Easy),96648,28716,16921,26.807%,https://www.acmicpc.net/problem/12100
15683,Gold III,감시,54977,26542,16243,45.142%,https://www.acmicpc.net/problem/15683
17144,Gold IV,미세먼지 안녕!,42438,23856,16207,55.234%,https://www.acmicpc.net/problem/17144
24263,Bronze IV,알고리즘 수업 - 알고리즘의 수행 시간 2,18957,14979,14351,79.710%,https://www.acmicpc.net/problem/24263
2636,Gold IV,치즈,32847,18571,13299,55.433%,https://www.acmicpc.net/problem/2636
1244,Silver IV,스위치 켜고 끄기,79680,17812,13249,20.441%,https://www.acmicpc.net/problem/1244
24264,Bronze III,알고리즘 수업 - 알고리즘의 수행 시간 3,26681,13653,13102,51.293%,https://www.acmicpc.net/problem/24264
24265,Bronze III,알고리즘 수업 - 알고리즘의 수행 시간 4,26150,13287,12452,51.159%,https://www.acmicpc.net/problem/24265
24266,Bronze III,알고리즘 수업 - 알고리즘의 수행 시간 5,17253,12550,12142,73.561%,https://www.acmicpc.net/problem/24266
24267,Bronze II,알고리즘 수업 - 알고리즘의 수행 시간 6,24578,11923,11215,49.510%,https://www.acmicpc.net/problem/24267
15685,Gold III,드래곤 커브,27817,16169,11214,56.118%,https://www.acmicpc.net/problem/15685
1547,Bronze III,공,16850,12161,11060,73.645%,https://www.acmicpc.net/problem/1547
2638,Gold III,치즈,31198,14689,10964,45.909%,https://www.acmicpc.net/problem/2638
17143,Gold I,낚시왕,54076,16712,9765,27.448%,https://www.acmicpc.net/problem/17143
14719,Gold V,빗물,21860,12442,9711,56.794%,https://www.acmicpc.net/problem/14719
16235,Gold III,나무 재테크,65806,16501,9360,22.497%,https://www.acmicpc.net/problem/16235
10103,Bronze III,주사위 게임,11208,9201,8715,83.373%,https://www.acmicpc.net/problem/10103
2578,Silver IV,빙고,23072,10513,8567,45.880%,https://www.acmicpc.net/problem/2578
20055,Gold V,컨베이어 벨트 위의 로봇,21088,12677,8464,58.188%,https://www.acmicpc.net/problem/20055
17135,Gold III,캐슬 디펜스,36764,13841,8464,33.383%,https://www.acmicpc.net/problem/17135
11559,Gold IV,Puyo Puyo,26718,11078,8063,39.682%,https://www.acmicpc.net/problem/11559
17140,Gold IV,이차원 배열과 연산,23141,11016,7344,44.763%,https://www.acmicpc.net/problem/17140
10804,Bronze II,카드 역배치,13043,8450,7129,65.699%,https://www.acmicpc.net/problem/10804
13335,Silver I,트럭,16093,8850,7035,56.583%,https://www.acmicpc.net/problem/13335
6359,Bronze II,만취한 상범,10936,7637,6599,71.410%,https://www.acmicpc.net/problem/6359
2979,Bronze II,트럭 주차,12291,8339,6495,67.564%,https://www.acmicpc.net/problem/2979
1417,Silver V,국회의원 선거,17274,7542,6435,44.771%,https://www.acmicpc.net/problem/1417
21610,Gold V,마법사 상어와 비바라기,17719,9158,6256,49.466%,https://www.acmicpc.net/problem/21610
10812,Bronze II,바구니 순서 바꾸기,11358,6912,6202,62.665%,https://www.acmicpc.net/problem/10812
20056,Gold IV,마법사 상어와 파이어볼,24204,9854,6083,36.926%,https://www.acmicpc.net/problem/20056
19236,Gold II,청소년 상어,14501,9183,5952,65.199%,https://www.acmicpc.net/problem/19236
1063,Silver III,킹,16382,6755,5699,42.603%,https://www.acmicpc.net/problem/1063
20057,Gold III,마법사 상어와 토네이도,11449,8095,5477,71.232%,https://www.acmicpc.net/problem/20057
2947,Bronze I,나무 조각,10727,6040,5452,57.693%,https://www.acmicpc.net/problem/2947
17822,Gold II,원판 돌리기,21897,8395,5388,34.893%,https://www.acmicpc.net/problem/17822
17779,Gold III,게리맨더링 2,13729,8292,5311,58.343%,https://www.acmicpc.net/problem/17779
19238,Gold II,스타트 택시,34154,8120,4916,21.382%,https://www.acmicpc.net/problem/19238
1713,Silver I,후보 추천하기,20432,6258,4804,31.984%,https://www.acmicpc.net/problem/1713
17837,Gold II,새로운 게임 2,15092,7489,4726,47.844%,https://www.acmicpc.net/problem/17837
14470,Bronze IV,전자레인지,6342,4853,4419,76.612%,https://www.acmicpc.net/problem/14470
10709,Silver V,기상캐스터,7282,5461,4366,75.069%,https://www.acmicpc.net/problem/10709
20058,Gold III,마법사 상어와 파이어스톰,15943,7133,4360,41.113%,https://www.acmicpc.net/problem/20058
16918,Silver I,봄버맨,15003,5942,4329,39.541%,https://www.acmicpc.net/problem/16918
19237,Gold II,어른 상어,16245,6931,4305,40.088%,https://www.acmicpc.net/problem/19237
5373,Platinum V,큐빙,15437,6131,4259,38.651%,https://www.acmicpc.net/problem/5373
17825,Gold II,주사위 윷놀이,14936,6667,4124,41.149%,https://www.acmicpc.net/problem/17825
1173,Bronze II,운동,9852,4306,3906,45.910%,https://www.acmicpc.net/problem/1173
1592,Bronze II,영식이와 친구들,6477,4417,3887,68.845%,https://www.acmicpc.net/problem/1592
10431,Silver V,줄세우기,8069,4280,3591,53.780%,https://www.acmicpc.net/problem/10431
3985,Bronze I,롤 케이크,7531,4041,3588,54.036%,https://www.acmicpc.net/problem/3985
21609,Gold II,상어 중학교,13962,5564,3505,36.571%,https://www.acmicpc.net/problem/21609
1551,Bronze I,수열의 변화,6059,3521,3157,59.985%,https://www.acmicpc.net/problem/1551
13459,Gold I,구슬 탈출,12364,4321,3146,35.033%,https://www.acmicpc.net/problem/13459
23288,Gold III,주사위 굴리기 2,6704,4161,3122,62.982%,https://www.acmicpc.net/problem/23288
