문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
1920,Silver IV,수 찾기,284796,89945,59463,30.346%,https://www.acmicpc.net/problem/1920
10816,Silver IV,숫자 카드 2,161388,63637,45310,37.877%,https://www.acmicpc.net/problem/10816
2805,Silver II,나무 자르기,216432,64405,39950,26.434%,https://www.acmicpc.net/problem/2805
1654,Silver II,랜선 자르기,241172,57580,38936,21.514%,https://www.acmicpc.net/problem/1654
10815,Silver V,숫자 카드,123799,52662,38562,42.631%,https://www.acmicpc.net/problem/10815
2110,Gold IV,공유기 설치,79914,28847,19978,36.677%,https://www.acmicpc.net/problem/2110
2512,Silver II,예산,62633,23770,17389,36.793%,https://www.acmicpc.net/problem/2512
12015,Gold II,가장 긴 증가하는 부분 수열 2,55569,22792,15966,41.331%,https://www.acmicpc.net/problem/12015
2470,Gold V,두 용액,65160,21075,15194,31.333%,https://www.acmicpc.net/problem/2470
1300,Gold I,K번째 수,46798,17352,12739,37.780%,https://www.acmicpc.net/problem/1300
2467,Gold V,용액,42948,16415,12664,37.045%,https://www.acmicpc.net/problem/2467
1253,Gold IV,좋다,55397,14131,10150,24.255%,https://www.acmicpc.net/problem/1253
2343,Silver I,기타 레슨,37840,13176,9124,32.708%,https://www.acmicpc.net/problem/2343
14003,Platinum V,가장 긴 증가하는 부분 수열 5,37367,12748,9090,33.978%,https://www.acmicpc.net/problem/14003
1072,Silver III,게임,49883,12076,9074,24.577%,https://www.acmicpc.net/problem/1072
12738,Gold II,가장 긴 증가하는 부분 수열 3,17037,9675,7916,61.118%,https://www.acmicpc.net/problem/12738
2473,Gold III,세 용액,36229,10674,7642,27.088%,https://www.acmicpc.net/problem/2473
2143,Gold III,두 배열의 합,31858,11221,7556,32.175%,https://www.acmicpc.net/problem/2143
2776,Silver IV,암기왕,31399,10742,7210,32.102%,https://www.acmicpc.net/problem/2776
1939,Gold III,중량제한,39374,10930,6729,25.915%,https://www.acmicpc.net/problem/1939
7795,Silver III,먹을 것인가 먹힐 것인가,17683,8894,6571,50.202%,https://www.acmicpc.net/problem/7795
3020,Gold V,개똥벌레,19817,8878,6509,45.642%,https://www.acmicpc.net/problem/3020
7453,Gold II,합이 0인 네 정수,41631,10484,6327,22.728%,https://www.acmicpc.net/problem/7453
1208,Gold I,부분수열의 합 2,30941,8115,5553,24.924%,https://www.acmicpc.net/problem/1208
2352,Gold II,반도체 설계,12922,6187,4912,52.395%,https://www.acmicpc.net/problem/2352
6236,Silver I,용돈 관리,21032,6397,4373,28.978%,https://www.acmicpc.net/problem/6236
2243,Platinum V,사탕상자,15793,6220,4262,38.803%,https://www.acmicpc.net/problem/2243
3079,Gold V,입국심사,29106,5699,3735,23.639%,https://www.acmicpc.net/problem/3079
16401,Silver II,과자 나눠주기,13122,4818,3502,36.215%,https://www.acmicpc.net/problem/16401
8983,Gold IV,사냥꾼,14679,5106,3473,33.870%,https://www.acmicpc.net/problem/8983
1365,Gold II,꼬인 전깃줄,7520,4190,3423,58.086%,https://www.acmicpc.net/problem/1365
