문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
9012,Silver IV,괄호,224258,106519,76384,46.226%,https://www.acmicpc.net/problem/9012
10828,Silver IV,스택,275046,101486,73643,37.828%,https://www.acmicpc.net/problem/10828
1920,Silver IV,수 찾기,284782,89939,59463,30.345%,https://www.acmicpc.net/problem/1920
10773,Silver IV,제로,103852,70658,57339,68.219%,https://www.acmicpc.net/problem/10773
2164,Silver IV,카드2,134263,69726,54286,50.877%,https://www.acmicpc.net/problem/2164
10845,Silver IV,큐,138206,65164,51323,49.116%,https://www.acmicpc.net/problem/10845
1874,Silver II,스택 수열,171594,67876,47132,38.387%,https://www.acmicpc.net/problem/1874
10816,Silver IV,숫자 카드 2,161359,63630,45310,37.878%,https://www.acmicpc.net/problem/10816
1158,Silver IV,요세푸스 문제,120763,60756,42657,49.096%,https://www.acmicpc.net/problem/1158
10866,Silver IV,덱,90449,50268,42305,56.183%,https://www.acmicpc.net/problem/10866
11866,Silver IV,요세푸스 문제 0,86934,49408,41394,56.455%,https://www.acmicpc.net/problem/11866
1764,Silver IV,듣보잡,119956,51791,40439,41.500%,https://www.acmicpc.net/problem/1764
4949,Silver IV,균형잡힌 세상,148428,50476,38987,32.758%,https://www.acmicpc.net/problem/4949
10815,Silver V,숫자 카드,123799,52662,38562,42.631%,https://www.acmicpc.net/problem/10815
1966,Silver III,프린터 큐,83953,48608,38314,58.749%,https://www.acmicpc.net/problem/1966
1927,Silver II,최소 힙,92022,43948,34769,49.082%,https://www.acmicpc.net/problem/1927
1620,Silver IV,나는야 포켓몬 마스터 이다솜,122931,44619,33625,34.566%,https://www.acmicpc.net/problem/1620
11279,Silver II,최대 힙,84811,40786,32327,49.644%,https://www.acmicpc.net/problem/11279
18258,Silver IV,큐 2,108959,35454,28709,32.703%,https://www.acmicpc.net/problem/18258
11286,Silver I,절댓값 힙,62066,35162,27707,56.775%,https://www.acmicpc.net/problem/11286
10799,Silver II,쇠막대기,56279,36529,27131,65.105%,https://www.acmicpc.net/problem/10799
1406,Silver II,에디터,130999,36909,24811,26.829%,https://www.acmicpc.net/problem/1406
14425,Silver IV,문자열 집합,57756,31289,23980,53.913%,https://www.acmicpc.net/problem/14425
1021,Silver III,회전하는 큐,48208,29038,23682,61.791%,https://www.acmicpc.net/problem/1021
17298,Gold IV,오큰수,92686,33722,23649,34.647%,https://www.acmicpc.net/problem/17298
3190,Gold IV,뱀,80053,34403,23175,41.393%,https://www.acmicpc.net/problem/3190
1717,Gold V,집합의 표현,108990,34881,21375,28.255%,https://www.acmicpc.net/problem/1717
9375,Silver III,패션왕 신해빈,44701,24967,20886,55.613%,https://www.acmicpc.net/problem/9375
1715,Gold IV,카드 정렬하기,73977,26239,20139,34.770%,https://www.acmicpc.net/problem/1715
7785,Silver V,회사에 있는 사람,62907,26049,19768,40.621%,https://www.acmicpc.net/problem/7785
2493,Gold V,탑,82248,28522,19247,33.072%,https://www.acmicpc.net/problem/2493
1269,Silver IV,대칭 차집합,35867,23021,19114,64.778%,https://www.acmicpc.net/problem/1269
9935,Gold IV,문자열 폭발,88562,24142,17033,26.524%,https://www.acmicpc.net/problem/9935
11478,Silver III,서로 다른 부분 문자열의 개수,32976,20704,16664,63.311%,https://www.acmicpc.net/problem/11478
17219,Silver IV,비밀번호 찾기,27838,19595,16560,71.253%,https://www.acmicpc.net/problem/17219
