문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
2750,Bronze II,수 정렬하기,219052,125733,86277,58.197%,https://www.acmicpc.net/problem/2750
2751,Silver V,수 정렬하기 2,341489,104842,73455,31.277%,https://www.acmicpc.net/problem/2751
11399,Silver IV,ATM,121364,83376,66208,69.074%,https://www.acmicpc.net/problem/11399
1181,Silver V,단어 정렬,202629,85441,63981,40.468%,https://www.acmicpc.net/problem/1181
1920,Silver IV,수 찾기,284796,89945,59463,30.346%,https://www.acmicpc.net/problem/1920
10817,Bronze III,세 수,136940,67258,58902,50.468%,https://www.acmicpc.net/problem/10817
11650,Silver V,좌표 정렬하기,153839,74386,57913,48.335%,https://www.acmicpc.net/problem/11650
10989,Bronze I,수 정렬하기 3,314762,75167,57372,23.810%,https://www.acmicpc.net/problem/10989
1427,Silver V,소트인사이드,103945,68049,56236,65.782%,https://www.acmicpc.net/problem/1427
10814,Silver V,나이순 정렬,156877,70971,54506,43.775%,https://www.acmicpc.net/problem/10814
1931,Silver I,회의실 배정,229682,76009,52589,30.800%,https://www.acmicpc.net/problem/1931
11651,Silver V,좌표 정렬하기 2,86533,56620,48370,66.974%,https://www.acmicpc.net/problem/11651
2309,Bronze I,일곱 난쟁이,157277,65727,45682,41.688%,https://www.acmicpc.net/problem/2309
10816,Silver IV,숫자 카드 2,161388,63637,45310,37.877%,https://www.acmicpc.net/problem/10816
1764,Silver IV,듣보잡,119966,51796,40439,41.501%,https://www.acmicpc.net/problem/1764
10815,Silver V,숫자 카드,123799,52662,38562,42.631%,https://www.acmicpc.net/problem/10815
1026,Silver IV,보물,65840,44628,37993,69.745%,https://www.acmicpc.net/problem/1026
2108,Silver III,통계학,174871,43627,34902,26.805%,https://www.acmicpc.net/problem/2108
18870,Silver II,좌표 압축,104884,44416,33300,39.583%,https://www.acmicpc.net/problem/18870
2587,Bronze II,대표값2,53987,33163,30308,61.931%,https://www.acmicpc.net/problem/2587
2217,Silver IV,로프,71221,31821,25461,43.606%,https://www.acmicpc.net/problem/2217
2752,Bronze IV,세수정렬,47001,28091,25007,61.227%,https://www.acmicpc.net/problem/2752
25305,Bronze II,커트라인,41226,27080,24713,66.449%,https://www.acmicpc.net/problem/25305
3273,Silver III,두 수의 합,65036,23285,17018,34.267%,https://www.acmicpc.net/problem/3273
10610,Silver IV,30,51977,21121,16830,40.093%,https://www.acmicpc.net/problem/10610
1946,Silver I,신입 사원,65786,23031,16752,33.467%,https://www.acmicpc.net/problem/1946
11656,Silver IV,접미사 배열,27438,19252,16035,71.005%,https://www.acmicpc.net/problem/11656
11004,Silver V,K번째 수,63914,22454,15928,41.623%,https://www.acmicpc.net/problem/11004
10825,Silver IV,국영수,39883,21691,15845,54.377%,https://www.acmicpc.net/problem/10825
2470,Gold V,두 용액,65132,21066,15194,31.333%,https://www.acmicpc.net/problem/2470
11728,Silver V,배열 합치기,45422,21554,14302,46.261%,https://www.acmicpc.net/problem/11728
1202,Gold II,보석 도둑,78979,19172,13261,22.514%,https://www.acmicpc.net/problem/1202
1302,Silver IV,베스트셀러,28094,15202,12622,54.347%,https://www.acmicpc.net/problem/1302
1744,Gold IV,수 묶기,44706,15462,12361,33.672%,https://www.acmicpc.net/problem/1744
11000,Gold V,강의실 배정,54428,16345,12044,29.458%,https://www.acmicpc.net/problem/11000
1940,Silver IV,주몽,34195,16484,11935,47.028%,https://www.acmicpc.net/problem/1940
10867,Silver V,중복 빼고 정렬하기,22771,13101,11177,57.858%,https://www.acmicpc.net/problem/10867
2693,Bronze I,N번째 큰 수,16828,12551,11159,75.639%,https://www.acmicpc.net/problem/2693
2075,Silver II,N번째 큰 수,36640,14851,10791,39.120%,https://www.acmicpc.net/problem/2075
11652,Silver IV,카드,47453,14258,10784,29.840%,https://www.acmicpc.net/problem/11652
2822,Silver V,점수 계산,15238,11062,10186,74.590%,https://www.acmicpc.net/problem/2822
1253,Gold IV,좋다,55397,14131,10150,24.255%,https://www.acmicpc.net/problem/1253
5052,Gold IV,전화번호 목록,47872,15874,9863,30.904%,https://www.acmicpc.net/problem/5052
1449,Silver III,수리공 항승,24008,11829,9794,49.320%,https://www.acmicpc.net/problem/1449
18110,Silver IV,solved.ac,41995,10793,9303,25.082%,https://www.acmicpc.net/problem/18110
