문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
1978,Bronze II,소수 찾기,223731,106244,84971,47.291%,https://www.acmicpc.net/problem/1978
1929,Silver III,소수 구하기,293869,88140,62084,27.977%,https://www.acmicpc.net/problem/1929
2609,Bronze I,최대공약수와 최소공배수,120997,69896,57026,57.754%,https://www.acmicpc.net/problem/2609
2581,Bronze II,소수,159228,63498,53429,39.604%,https://www.acmicpc.net/problem/2581
11653,Bronze I,소인수분해,121355,66911,51821,53.722%,https://www.acmicpc.net/problem/11653
1934,Bronze I,최소공배수,84769,45970,39107,55.206%,https://www.acmicpc.net/problem/1934
1037,Bronze I,약수,74987,42206,36648,56.623%,https://www.acmicpc.net/problem/1037
4948,Silver II,베르트랑 공준,111110,43794,34926,38.823%,https://www.acmicpc.net/problem/4948
9020,Silver II,골드바흐의 추측,88434,36651,27624,39.381%,https://www.acmicpc.net/problem/9020
9506,Bronze I,약수들의 합,52751,26544,23609,51.150%,https://www.acmicpc.net/problem/9506
1476,Silver V,날짜 계산,43218,27717,22565,66.615%,https://www.acmicpc.net/problem/1476
10610,Silver IV,30,51977,21121,16830,40.093%,https://www.acmicpc.net/problem/10610
1735,Silver III,분수 합,39088,18115,15753,47.035%,https://www.acmicpc.net/problem/1735
1644,Gold III,소수의 연속합,51380,22227,15445,41.213%,https://www.acmicpc.net/problem/1644
6064,Silver I,카잉 달력,75288,19928,14958,26.989%,https://www.acmicpc.net/problem/6064
2960,Silver IV,에라토스테네스의 체,29687,16909,14240,57.893%,https://www.acmicpc.net/problem/2960
13241,Silver V,최소공배수,23194,14419,13207,63.056%,https://www.acmicpc.net/problem/13241
9613,Silver IV,GCD 합,37464,15693,12939,42.532%,https://www.acmicpc.net/problem/9613
2004,Silver II,조합 0의 개수,54070,15323,12625,28.823%,https://www.acmicpc.net/problem/2004
6588,Silver I,골드바흐의 추측,92005,17980,12081,21.901%,https://www.acmicpc.net/problem/6588
3036,Silver IV,링,16645,12545,11486,76.763%,https://www.acmicpc.net/problem/3036
