문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
1010,Silver V,다리 놓기,110268,51570,41813,47.928%,https://www.acmicpc.net/problem/1010
11050,Bronze I,이항 계수 1,72533,47111,40762,64.769%,https://www.acmicpc.net/problem/11050
1759,Gold V,암호 만들기,81607,39062,26784,44.810%,https://www.acmicpc.net/problem/1759
6603,Silver II,로또,63391,36094,25301,55.751%,https://www.acmicpc.net/problem/6603
9375,Silver III,패션왕 신해빈,44701,24967,20886,55.613%,https://www.acmicpc.net/problem/9375
11051,Silver II,이항 계수 2,63389,24131,18997,38.329%,https://www.acmicpc.net/problem/11051
15439,Bronze IV,베라의 패션,15649,13449,12819,86.504%,https://www.acmicpc.net/problem/15439
2407,Silver III,조합,34942,13361,11596,42.422%,https://www.acmicpc.net/problem/2407
10972,Silver III,다음 순열,32474,12976,9571,40.461%,https://www.acmicpc.net/problem/10972
11401,Gold I,이항 계수 3,31495,11589,8510,39.716%,https://www.acmicpc.net/problem/11401
17471,Gold III,게리맨더링,30273,13320,8349,40.479%,https://www.acmicpc.net/problem/17471
10973,Silver III,이전 순열,16167,8976,7496,58.330%,https://www.acmicpc.net/problem/10973
10164,Silver II,격자상의 경로,18931,7047,5507,37.235%,https://www.acmicpc.net/problem/10164
1941,Gold III,소문난 칠공주,15186,8187,5305,51.850%,https://www.acmicpc.net/problem/1941
16395,Silver V,파스칼의 삼각형,8107,5470,4816,69.545%,https://www.acmicpc.net/problem/16395
1256,Gold II,사전,18915,5877,4320,31.713%,https://www.acmicpc.net/problem/1256
1722,Gold V,순열의 순서,14981,4395,3409,33.530%,https://www.acmicpc.net/problem/1722
1328,Platinum V,고층 빌딩,10382,4201,3168,38.852%,https://www.acmicpc.net/problem/1328
16922,Silver III,로마 숫자 만들기,7004,3868,3094,54.110%,https://www.acmicpc.net/problem/16922
3049,Silver V,다각형의 대각선,4011,2954,2713,75.846%,https://www.acmicpc.net/problem/3049
16968,Bronze I,차량 번호판 1,4935,3011,2424,60.371%,https://www.acmicpc.net/problem/16968
10422,Gold IV,괄호,10384,3187,2355,30.200%,https://www.acmicpc.net/problem/10422
1947,Gold III,선물 전달,4901,2472,2030,50.310%,https://www.acmicpc.net/problem/1947
13251,Silver III,조약돌 꺼내기,5698,2340,1926,43.155%,https://www.acmicpc.net/problem/13251
13977,Platinum V,이항 계수와 쿼리,5445,2604,1909,44.883%,https://www.acmicpc.net/problem/13977
15489,Silver IV,파스칼 삼각형,3445,2069,1800,61.496%,https://www.acmicpc.net/problem/15489
16561,Bronze II,3의 배수,3234,1992,1755,64.856%,https://www.acmicpc.net/problem/16561
16943,Silver I,숫자 재배치,4820,2309,1732,45.784%,https://www.acmicpc.net/problem/16943
15824,Gold II,너 봄에는 캡사이신이 맛있단다,7940,2344,1722,27.645%,https://www.acmicpc.net/problem/15824
11402,Platinum IV,이항 계수 4,5655,2263,1689,42.523%,https://www.acmicpc.net/problem/11402
6591,Silver III,이항 쇼다운,7540,1886,1574,26.574%,https://www.acmicpc.net/problem/6591
1720,Gold IV,타일 코드,4436,1829,1462,41.831%,https://www.acmicpc.net/problem/1720
1344,Gold IV,축구,2727,1727,1317,64.845%,https://www.acmicpc.net/problem/1344
9081,Silver I,단어 맞추기,3830,1573,1288,44.629%,https://www.acmicpc.net/problem/9081
1670,Gold III,정상 회담 2,3909,1583,1233,39.268%,https://www.acmicpc.net/problem/1670
16134,Gold I,조합 (Combination),2926,1378,1157,58.940%,https://www.acmicpc.net/problem/16134
16565,Gold II,N포커,2968,1411,1153,47.488%,https://www.acmicpc.net/problem/16565
1359,Silver IV,복권,2443,999,868,47.484%,https://www.acmicpc.net/problem/1359
25176,Bronze I,청정수열 (Easy),1156,923,865,81.835%,https://www.acmicpc.net/problem/25176
21760,Silver V,야구 시즌,2758,1082,852,41.040%,https://www.acmicpc.net/problem/21760
17213,Silver II,과일 서리,1758,919,790,53.596%,https://www.acmicpc.net/problem/17213
1234,Gold II,크리스마스 트리,2083,998,768,48.638%,https://www.acmicpc.net/problem/1234
1023,Platinum III,괄호 문자열,3459,963,756,34.887%,https://www.acmicpc.net/problem/1023
8895,Platinum V,막대 배치,1530,894,724,61.200%,https://www.acmicpc.net/problem/8895
1497,Silver I,기타콘서트,2523,894,683,34.670%,https://www.acmicpc.net/problem/1497
3671,Gold V,산업 스파이의 편지,1821,920,670,50.873%,https://www.acmicpc.net/problem/3671
18291,Gold V,비요뜨의 징검다리 건너기,2420,849,656,33.867%,https://www.acmicpc.net/problem/18291
15791,Gold I,세진이의 미팅,1593,779,655,61.968%,https://www.acmicpc.net/problem/15791
1146,Platinum V,지그재그 서기,1887,843,611,43.550%,https://www.acmicpc.net/problem/1146
30821,Bronze III,별자리가 될 수 있다면,889,647,587,74.304%,https://www.acmicpc.net/problem/30821
13430,Platinum V,합 구하기,1732,706,569,43.972%,https://www.acmicpc.net/problem/13430
12785,Silver I,토쟁이의 등굣길,2243,625,532,29.409%,https://www.acmicpc.net/problem/12785
31395,Silver IV,정렬된 연속한 부분수열의 개수,1239,584,511,49.516%,https://www.acmicpc.net/problem/31395
21606,Gold III,아침 산책,3997,746,503,19.118%,https://www.acmicpc.net/problem/21606
1413,Platinum V,박스 안의 열쇠,1362,606,486,46.110%,https://www.acmicpc.net/problem/1413
17268,Gold III,미팅의 저주,1065,541,479,54.556%,https://www.acmicpc.net/problem/17268
10978,Gold II,기숙사 재배정,1072,592,472,54.378%,https://www.acmicpc.net/problem/10978
13707,Gold IV,합분해 2,1379,596,468,43.414%,https://www.acmicpc.net/problem/13707
1394,Gold V,암호,2719,613,448,25.070%,https://www.acmicpc.net/problem/1394
13703,Gold V,물벼룩의 생존확률,1802,537,441,34.319%,https://www.acmicpc.net/problem/13703
30993,Silver V,자동차 주차,679,489,431,75.087%,https://www.acmicpc.net/problem/30993
8907,Platinum IV,네온 사인,1280,544,410,45.861%,https://www.acmicpc.net/problem/8907
17358,Silver V,복불복으로 지구 멸망,975,473,408,48.629%,https://www.acmicpc.net/problem/17358
3000,Silver I,직각 삼각형,1303,493,385,41.089%,https://www.acmicpc.net/problem/3000
14717,Silver V,앉았다,609,405,364,70.406%,https://www.acmicpc.net/problem/14717
15718,Platinum III,돌아온 떡파이어,2810,492,363,17.725%,https://www.acmicpc.net/problem/15718
16969,Silver V,차량 번호판 2,727,440,350,62.278%,https://www.acmicpc.net/problem/16969
3948,Platinum V,홍준이의 친위대,621,419,343,67.653%,https://www.acmicpc.net/problem/3948
31995,Bronze II,게임말 올려놓기,423,355,310,83.558%,https://www.acmicpc.net/problem/31995
24956,Gold IV,나는 정말 휘파람을 못 불어,1544,491,310,27.953%,https://www.acmicpc.net/problem/24956
25345,Gold V,루나의 게임 세팅,1127,457,306,36.823%,https://www.acmicpc.net/problem/25345
12907,Gold V,동물원,1127,358,299,31.876%,https://www.acmicpc.net/problem/12907
24419,Silver III,알고리즘 수업 - 행렬 경로 문제 2,768,388,289,52.450%,https://www.acmicpc.net/problem/24419
28250,Silver II,"이브, 프시케 그리고 푸른 MEX의 아내",877,363,286,46.732%,https://www.acmicpc.net/problem/28250
29719,Silver IV,브실이의 불침번 근무,841,319,282,39.607%,https://www.acmicpc.net/problem/29719
17834,Gold I,사자와 토끼,657,344,276,55.090%,https://www.acmicpc.net/problem/17834
12866,Bronze I,피노키오,830,377,276,45.545%,https://www.acmicpc.net/problem/12866
27084,Gold V,카드 뽑기,679,321,275,49.819%,https://www.acmicpc.net/problem/27084
28435,Gold II,배수 피하기,1114,318,272,33.211%,https://www.acmicpc.net/problem/28435
31474,Silver IV,양갈래 짝 맞추기,441,277,251,68.392%,https://www.acmicpc.net/problem/31474
8916,Platinum V,이진 검색 트리,1380,481,241,27.638%,https://www.acmicpc.net/problem/8916
20531,Platinum V,인간관계,770,297,238,37.014%,https://www.acmicpc.net/problem/20531
20943,Gold IV,카카오톡,1438,329,228,26.887%,https://www.acmicpc.net/problem/20943
17205,Gold V,진우의 비밀번호,345,259,227,79.930%,https://www.acmicpc.net/problem/17205
9521,Platinum III,색칠 공부,1705,332,225,19.531%,https://www.acmicpc.net/problem/9521
9343,Gold I,랜덤 걷기,910,297,222,34.154%,https://www.acmicpc.net/problem/9343
31217,Silver III,Y,412,254,216,60.167%,https://www.acmicpc.net/problem/31217
21739,Gold II,펭귄 네비게이터,643,268,214,43.496%,https://www.acmicpc.net/problem/21739
26084,Silver II,DPS,699,261,212,43.983%,https://www.acmicpc.net/problem/26084
17428,Platinum V,K번째 괄호 문자열,551,278,207,52.405%,https://www.acmicpc.net/problem/17428
22880,Gold II,봉화대,343,220,191,71.269%,https://www.acmicpc.net/problem/22880
31418,Silver IV,스펀지,543,229,189,42.000%,https://www.acmicpc.net/problem/31418
24270,Gold IV,미니 버킷 리스트,848,253,189,32.088%,https://www.acmicpc.net/problem/24270
31228,Gold III,실 전화기,745,210,183,31.993%,https://www.acmicpc.net/problem/31228
31778,Gold III,PPC 만들기,536,237,180,46.632%,https://www.acmicpc.net/problem/31778
1286,Gold V,부분 직사각형,330,187,177,60.204%,https://www.acmicpc.net/problem/1286
19544,Platinum V,함수 복원,424,194,174,48.066%,https://www.acmicpc.net/problem/19544
30206,Gold IV,차량 배치,509,211,173,41.687%,https://www.acmicpc.net/problem/30206
25182,Gold II,청정수열 (Hard),470,216,173,48.870%,https://www.acmicpc.net/problem/25182
26524,Gold V,방향 정하기,340,206,172,68.526%,https://www.acmicpc.net/problem/26524
30961,Gold III,"최솟값, 최댓값",285,210,166,74.775%,https://www.acmicpc.net/problem/30961
13912,Gold I,외계 생물,443,201,159,45.042%,https://www.acmicpc.net/problem/13912
9472,Gold II,알고리즘 기말고사,303,193,157,63.052%,https://www.acmicpc.net/problem/9472
22236,Gold IV,가희와 비행기,428,182,153,43.466%,https://www.acmicpc.net/problem/22236
9937,Gold I,직선으로 만드는 삼각형,767,206,153,32.484%,https://www.acmicpc.net/problem/9937
26156,Gold III,나락도 락이다,617,190,149,32.675%,https://www.acmicpc.net/problem/26156
14257,Gold II,XOR 방정식,504,189,146,36.869%,https://www.acmicpc.net/problem/14257
18132,Gold III,내 이진트리를 돌려줘!!!,316,165,143,54.789%,https://www.acmicpc.net/problem/18132
30463,Gold III,K-문자열,474,207,142,46.557%,https://www.acmicpc.net/problem/30463
3651,Platinum V,이항계수,1345,205,140,17.588%,https://www.acmicpc.net/problem/3651
12910,Silver III,사탕 나눠주기,202,152,139,87.975%,https://www.acmicpc.net/problem/12910
29715,Silver III,비밀번호 찾기,318,159,137,51.311%,https://www.acmicpc.net/problem/29715
32206,Silver I,아보와 킨텍스,263,167,136,69.744%,https://www.acmicpc.net/problem/32206
8944,Platinum V,이진 검색 트리 2,300,152,133,54.959%,https://www.acmicpc.net/problem/8944
31803,Silver III,교실 배정,347,144,129,52.439%,https://www.acmicpc.net/problem/31803
24731,Gold I,XOR-ABC,334,156,128,50.394%,https://www.acmicpc.net/problem/24731
25823,Gold I,조합의 합의 합,296,164,127,61.951%,https://www.acmicpc.net/problem/25823
30641,Gold V,회문 끝말잇기,520,167,121,28.605%,https://www.acmicpc.net/problem/30641
25569,Platinum IV,My뷰 꾸미기,333,139,115,45.817%,https://www.acmicpc.net/problem/25569
31966,Platinum V,이진 트리,249,132,113,66.864%,https://www.acmicpc.net/problem/31966
12024,Gold II,사각형 찾기,366,133,108,43.548%,https://www.acmicpc.net/problem/12024
16159,Silver I,전광판의 숫자,327,124,107,43.496%,https://www.acmicpc.net/problem/16159
14571,Platinum IV,모래시계,383,135,107,43.320%,https://www.acmicpc.net/problem/14571
29157,Platinum V,폭탄 피하기,700,132,106,25.476%,https://www.acmicpc.net/problem/29157
30806,Platinum IV,교차 집합 크기 합,435,177,105,35.354%,https://www.acmicpc.net/problem/30806
13558,Gold II,등차수열의 개수,1216,210,105,24.476%,https://www.acmicpc.net/problem/13558
13021,Gold V,공 색칠하기,308,135,104,48.372%,https://www.acmicpc.net/problem/13021
17301,Platinum V,NC 문자열,553,142,103,29.769%,https://www.acmicpc.net/problem/17301
16725,Platinum V,다항 계수,551,138,102,24.757%,https://www.acmicpc.net/problem/16725
12516,Platinum III,챔피언소트 (Large),200,113,100,58.480%,https://www.acmicpc.net/problem/12516
20443,Gold III,배드민턴 대회,200,101,98,55.682%,https://www.acmicpc.net/problem/20443
31499,Silver III,프랙탈 수열,154,103,96,68.310%,https://www.acmicpc.net/problem/31499
9616,Gold I,홀수 정사각형,352,172,95,48.469%,https://www.acmicpc.net/problem/9616
9320,Gold III,금고 열기,622,122,95,25.132%,https://www.acmicpc.net/problem/9320
3462,Platinum V,이진 스털링 수,412,117,95,38.153%,https://www.acmicpc.net/problem/3462
13257,Gold III,생태학,219,108,94,50.538%,https://www.acmicpc.net/problem/13257
32345,Silver III,혼긱대학교,224,117,93,53.143%,https://www.acmicpc.net/problem/32345
13183,Silver II,창문,148,102,89,70.635%,https://www.acmicpc.net/problem/13183
12515,Platinum IV,챔피언소트 (Small),171,94,88,57.516%,https://www.acmicpc.net/problem/12515
1908,Platinum V,곱셈 전개식,383,119,81,30.337%,https://www.acmicpc.net/problem/1908
