문제 번호,문제 티어,문제 이름,전체 제출 케이스,정답 케이스,푼 사람 수,정답 비율,문제 링크
1991,Silver I,트리 순회,62929,40844,31482,67.016%,https://www.acmicpc.net/problem/1991
11725,Silver II,트리의 부모 찾기,91465,41158,28963,42.707%,https://www.acmicpc.net/problem/11725
1967,Gold IV,트리의 지름,52481,21064,15977,40.734%,https://www.acmicpc.net/problem/1967
1167,Gold II,트리의 지름,61693,20735,15139,33.786%,https://www.acmicpc.net/problem/1167
1068,Gold V,트리,65000,19504,14636,29.323%,https://www.acmicpc.net/problem/1068
5639,Gold IV,이진 검색 트리,48948,19173,13484,37.779%,https://www.acmicpc.net/problem/5639
9372,Silver IV,상근이의 여행,23187,13996,11061,61.161%,https://www.acmicpc.net/problem/9372
5052,Gold IV,전화번호 목록,47872,15874,9863,30.904%,https://www.acmicpc.net/problem/5052
2263,Gold I,트리의 순회,35209,12624,8773,32.779%,https://www.acmicpc.net/problem/2263
2533,Gold III,사회망 서비스(SNS),24727,9837,6713,37.699%,https://www.acmicpc.net/problem/2533
15681,Gold V,트리와 쿼리,15918,7557,5708,45.345%,https://www.acmicpc.net/problem/15681
9934,Silver I,완전 이진 트리,9623,6482,5092,68.820%,https://www.acmicpc.net/problem/9934
3584,Gold IV,가장 가까운 공통 조상,12871,6717,5044,52.188%,https://www.acmicpc.net/problem/3584
4803,Gold IV,트리,19969,6929,4813,32.617%,https://www.acmicpc.net/problem/4803
1240,Gold V,노드사이의 거리,11227,6131,4719,54.354%,https://www.acmicpc.net/problem/1240
2250,Gold II,트리의 높이와 너비,22601,6675,4605,28.219%,https://www.acmicpc.net/problem/2250
14725,Gold III,개미굴,8112,5325,4126,66.875%,https://www.acmicpc.net/problem/14725
1761,Platinum V,정점들의 거리,14157,5691,3826,38.425%,https://www.acmicpc.net/problem/1761
1949,Gold II,우수 마을,9523,5040,3770,54.143%,https://www.acmicpc.net/problem/1949
3176,Platinum IV,도로 네트워크,12501,4821,3228,37.838%,https://www.acmicpc.net/problem/3176
14267,Gold IV,회사 문화 1,10094,3866,2918,36.298%,https://www.acmicpc.net/problem/14267
