티어,브루트포스 알고리즘 레이팅,구현 레이팅,수학 레이팅,사칙연산 레이팅,그리디 알고리즘 레이팅,이분 탐색 레이팅,기하학 레이팅,그래프 이론 레이팅,그래프 탐색 레이팅,조합론 레이팅,너비 우선 탐색 레이팅,다이나믹 프로그래밍 레이팅,백트래킹 레이팅,자료 구조 레이팅,깊이 우선 탐색 레이팅,시뮬레이션 레이팅,문자열 레이팅,정수론 레이팅,트리 레이팅
Bronze III,"15.145299145299145, Unrated","141.7116935483871, Bronze II","106.27318548387096, Bronze III","84.06451612903226, Bronze IV","17.39189189189189, Unrated","16.0, Unrated","5.31864406779661, Unrated","22.0, Unrated","23.25, Unrated","7.397590361445783, Unrated","20.666666666666668, Unrated","17.5, Unrated","0.0, Unrated","22.666666666666668, Unrated","22.666666666666668, Unrated","16.858064516129033, Unrated","23.55772646536412, Unrated","17.4020618556701, Unrated","43.333333333333336, Bronze V"
Bronze II,"18.519083969465647, Unrated","177.6877593360996, Bronze I","133.94398340248964, Bronze II","99.52697095435684, Bronze III","21.123287671232877, Unrated","18.72, Unrated","5.917550058892815, Unrated","23.68421052631579, Unrated","23.444444444444443, Unrated","8.831683168316832, Unrated","23.529411764705884, Unrated","19.192052980132452, Unrated","21.8, Unrated","27.64885496183206, Unrated","20.0, Unrated","20.845201238390093, Unrated","31.14017521902378, Bronze V","18.561643835616437, Unrated","22.0, Unrated"
Bronze I,"25.00653594771242, Unrated","226.53535980148882, Silver V","169.825682382134, Bronze I","114.90999379267535, Bronze III","23.369928400954652, Unrated","20.534653465346533, Unrated","7.801635991820041, Unrated","28.396551724137932, Unrated","27.74074074074074, Unrated","10.615384615384615, Unrated","25.6734693877551, Unrated","23.812796208530806, Unrated","34.13333333333333, Bronze V","35.27927927927928, Bronze V","25.142857142857142, Unrated","23.448326055312954, Unrated","52.04906391220142, Bronze V","22.05829596412556, Unrated","26.181818181818183, Unrated"
Silver V,"30.282501371365882, Bronze V","295.8696149447198, Silver V","229.3080442241708, Silver V","135.94469870327993, Bronze II","26.25546345139412, Unrated","25.162241887905605, Unrated","11.424366312346688, Unrated","36.46330275229358, Bronze V","36.0, Bronze V","13.349532710280373, Unrated","34.32967032967033, Bronze V","27.6089527027027, Unrated","45.75221238938053, Bronze V","53.61885656970913, Bronze V","33.21604938271605, Bronze V","25.70945945945946, Unrated","88.9704980842912, Bronze IV","28.247713414634145, Unrated","22.4, Unrated"
Silver IV,"41.48225013653741, Bronze V","361.7729756582216, Silver IV","314.42374565325383, Silver IV","163.06163021868787, Bronze I","32.58643860720831, Bronze V","28.376936316695353, Unrated","22.852849740932644, Unrated","55.906172839506176, Bronze V","55.04, Bronze V","15.280346820809248, Unrated","52.51322751322751, Bronze V","40.34679163662581, Bronze V","50.53475935828877, Bronze V","75.06661045531197, Bronze IV","43.979651162790695, Bronze V","32.92559523809524, Bronze V","122.90551964196916, Bronze II","41.37446020974707, Bronze V","26.928571428571427, Unrated"
Silver III,"62.91661402400506, Bronze IV","406.8828939301042, Silver III","366.6020846106683, Silver IV","177.94956949569496, Bronze I","45.67197875166003, Bronze V","33.85978835978836, Bronze V","29.126797385620915, Unrated","84.63246268656717, Bronze IV","83.1529636711281, Bronze IV","17.251612903225805, Unrated","77.2871287128713, Bronze IV","54.88297126839524, Bronze V","53.6219512195122, Bronze V","100.93986121819583, Bronze III","60.234927234927234, Bronze IV","38.15273037542662, Bronze V","152.98158379373848, Bronze I","52.826027397260276, Bronze V","31.086614173228348, Bronze V"
Silver II,"93.50332941637289, Bronze III","449.2143410852713, Silver III","416.55232558139534, Silver III","184.65365091761032, Bronze I","66.11828388131515, Bronze IV","41.60399529964747, Bronze V","36.337088026700044, Bronze V","118.43420074349443, Bronze III","113.06914893617021, Bronze III","21.540485829959515, Unrated","103.63866877971473, Bronze III","90.71289931257581, Bronze III","77.96949891067538, Bronze IV","151.08288659793814, Bronze I","74.72324414715719, Bronze IV","47.03673272112132, Bronze V","193.45401629802095, Bronze I","75.12552653748946, Bronze IV","37.15384615384615, Bronze V"
Silver I,"134.897086, Bronze II","500.452976, Silver II","478.377101, Silver III","193.055963, Bronze I","98.994903, Bronze III","51.277655, Bronze V","43.214108, Bronze V","174.894668, Bronze I","160.827333, Bronze I","29.468995, Unrated","143.443686, Bronze II","150.334715, Bronze I","100.138438, Bronze III","232.155617, Silver V","95.417379, Bronze III","61.282403, Bronze IV","238.305, Silver V","107.250121, Bronze III","39.928713, Bronze V"
Gold V,"185.82032457496135, Bronze I","546.0030899961375, Silver II","523.8478176902279, Silver II","193.90894880812817, Bronze I","147.91725214676035, Bronze II","71.34793926247289, Bronze IV","46.24904539669071, Bronze V","249.73934280639432, Silver V","225.6402329749104, Silver V","38.8196872125115, Bronze V","196.8971663619744, Bronze I","237.54651162790697, Silver V","125.8858166922683, Bronze II","310.0278853601859, Silver IV","124.7147510469986, Bronze II","73.8983340452798, Bronze IV","274.5883262466177, Silver V","125.49776513612353, Bronze II","44.86847599164927, Bronze V"
Gold IV,"260.43009442583, Silver V","594.7688794153471, Silver II","536.0045676004872, Silver II","180.40887923005278, Bronze I","193.98553846153845, Bronze I","93.88503832055981, Bronze III","50.148148148148145, Bronze V","385.76879162702187, Silver IV","340.2774952320407, Silver IV","49.864446686848304, Bronze V","287.2897016361886, Silver V","334.2355989027735, Silver IV","174.8335011748909, Bronze I","365.83592558706926, Silver IV","170.15508365508364, Bronze I","111.91343669250647, Bronze III","287.3931076547728, Silver V","131.36448298008992, Bronze II","53.68595927116827, Bronze V"
